modelo,config,bloque_mes,H,n_ventanas,MAE,RMSE,R2
xgb,xgb_E3,2025-03,24,6,3.4140295092264816,4.472946531794986,0.06887330369574629
xgb,xgb_E3,2025-03,48,6,3.6243792939186097,4.706458131308718,-0.04261577073234002
c2,c2_zs_U_C512,2025-03,6,6,4.437072833379109,6.0277062783892745,-0.03231842121928641
c2,c2_zs_U_C512,2025-03,12,6,4.258103904194302,5.6131082840101945,-0.059185364579009025
c2,c2_zs_U_C512,2025-03,24,6,3.597118461661869,4.761096128473386,-0.05495823162873492
c2,c2_zs_U_C512,2025-03,48,6,3.7455010211467745,4.9723807576721475,-0.16376326695070031
c2,c2_zs_F_C256,2025-03,6,6,4.284754167132908,5.636023138441371,0.09748371134495415
c2,c2_zs_F_C256,2025-03,12,6,3.8968802218967014,5.164556163511326,0.1033330970295927
c2,c2_zs_F_C256,2025-03,24,6,3.460615950955285,4.538395846310226,0.041424971708528324
c2,c2_zs_F_C256,2025-03,48,6,3.824653779533174,4.823503675315853,-0.09511850668089128
ttm,ttm_zs_U,2025-03,6,6,4.509792356491089,5.9864674400577504,-0.018241429850718305
ttm,ttm_zs_U,2025-03,12,6,4.1289409579171075,5.469050770312846,-0.005516127170920981
ttm,ttm_zs_U,2025-03,24,6,3.5383894774648876,4.632875994343519,0.0010983820338389405
ttm,ttm_zs_U,2025-03,48,6,3.723192820019192,4.869084632712091,-0.11591351508513803
ttm,ttm_ft5_F,2025-03,6,6,5.069028417799208,6.6932462577059955,-0.27286727679199085
ttm,ttm_ft5_F,2025-03,12,6,4.550996953116523,6.047082935848392,-0.22929744914331862
ttm,ttm_ft5_F,2025-03,24,6,4.040738189220429,5.234598104067904,-0.27522862271615023
ttm,ttm_ft5_F,2025-03,48,6,4.093166660600239,5.432184503170346,-0.38894457312972874
xgb,xgb_E1,2025-04,6,23,2.5211191970714624,3.2048055972686535,0.0696078301173132
xgb,xgb_E1,2025-04,12,23,2.8949286658522015,3.525658833592584,-0.03745206941444956
xgb,xgb_E1,2025-04,24,23,3.109051221695499,4.01213923499568,0.07276176748660357
xgb,xgb_E1,2025-04,48,23,3.509268648361814,4.817732821056258,0.04970812212014697
xgb,xgb_E3,2025-04,6,23,2.587531260338382,3.2614773411602394,0.03641196843287475
xgb,xgb_E3,2025-04,12,23,2.9181398453919787,3.535611669056095,-0.04331773291766661
xgb,xgb_E3,2025-04,24,23,3.160559765290523,4.040867250600139,0.059435669107791855
xgb,xgb_E3,2025-04,48,23,3.5529977407662767,4.866988694771185,0.030177469362400955
c2,c2_zs_U_C512,2025-04,6,23,2.533828864443129,3.2163135252636574,0.06291406408186229
c2,c2_zs_U_C512,2025-04,12,23,2.857890855125759,3.511524568399157,-0.029150511978620397
c2,c2_zs_U_C512,2025-04,24,23,3.1629035932430325,4.143031272129916,0.011274440898079385
c2,c2_zs_U_C512,2025-04,48,23,3.566790303458338,4.997537538299934,-0.022548048674701393
c2,c2_zs_F_C256,2025-04,6,23,2.56803500852723,3.2443589056004827,0.0465005443389187
c2,c2_zs_F_C256,2025-04,12,23,2.8808693356444874,3.5659261265756355,-0.061285316570092396
c2,c2_zs_F_C256,2025-04,24,23,3.200616445956023,4.139279025130505,0.013064561350720427
c2,c2_zs_F_C256,2025-04,48,23,3.6245554482073024,5.024053646309252,-0.033427777133475
ttm,ttm_zs_U,2025-04,6,23,2.6071310914081076,3.2783375421133165,0.026423684767794664
ttm,ttm_zs_U,2025-04,12,23,2.8861439609527593,3.5310249753936183,-0.04061252924563519
ttm,ttm_zs_U,2025-04,24,23,3.1437728951219195,4.114209289690288,0.02498319936539528
ttm,ttm_zs_U,2025-04,48,23,3.5262097302657973,4.9349871392855595,0.0028886843374497095
ttm,ttm_ft5_F,2025-04,6,23,2.8946994292217747,3.545866803685903,-0.13895745461129927
ttm,ttm_ft5_F,2025-04,12,23,3.185804935814678,3.8633092234223407,-0.2456797762519527
ttm,ttm_ft5_F,2025-04,24,23,3.313757741002069,4.27271169437737,-0.051590167845873225
ttm,ttm_ft5_F,2025-04,48,23,3.6824477529525756,5.080458414100268,-0.056762505870682434
xgb,xgb_E1,2025-07,6,30,3.118548975626628,3.9394757070456725,-0.10882005301129571
xgb,xgb_E1,2025-07,12,30,3.5177276666429305,4.604835661480768,0.04694206898797826
xgb,xgb_E1,2025-07,24,30,3.4924323262108703,4.460446090917682,0.06331625833969023
xgb,xgb_E1,2025-07,48,30,3.584063184632195,4.552217168767586,0.04040955522803191
xgb,xgb_E3,2025-07,6,30,3.2302672704060886,4.051220400546108,-0.17261638966677495
xgb,xgb_E3,2025-07,12,30,3.585984737820095,4.643917679317076,0.030695891095774197
xgb,xgb_E3,2025-07,24,30,3.5711069567998255,4.5299491527197935,0.033897853899786834
xgb,xgb_E3,2025-07,48,30,3.616312684747908,4.595331809575134,0.022146665965315115
c2,c2_zs_U_C512,2025-07,6,30,2.9070802048577207,3.7322095409332694,0.004786506734223206
c2,c2_zs_U_C512,2025-07,12,30,3.4235256012810598,4.5364673024963285,0.07503223378581081
